scenario,p,method,replicates,mean_runtime,sd_runtime,mean_number_edges,ePPV,eTPR,eTNR,sPPV,sTPR,sTNR
A,8,pdglasso-cor,20,0.7659697008500046,0.078170499916977,5.3,0.9325396825396826,0.96,0.9782608695652174,0.4208333333333333,0.9,0.9833333333333332
A,8,pdglasso-cov,20,0.7970337286500012,0.0846258131976936,5.5,0.8968253968253966,0.96,0.9695652173913044,,0.9,0.9722222222222224
A,12,pdglasso-cor,20,1.035315455199998,0.0756731575698322,13.1,0.9119452477347216,0.9791666666666669,0.975,0.2055555555555555,0.85,0.9717391304347828
A,12,pdglasso-cov,20,1.098364990099998,0.0621898963366046,13.25,0.8829383484162896,0.9625,0.9685185185185186,0.1822023809523809,0.95,0.9739130434782608
A,16,pdglasso-cor,20,1.3751006863499868,0.1376516380966769,23.2,0.8916879988178614,0.9363636363636364,0.9734693877551018,0.1968704906204906,0.9,0.9897727272727274
A,16,pdglasso-cov,20,1.4995902539500094,0.1665322854170595,24.7,0.8300185225402616,0.9227272727272728,0.9551020408163268,0.1723791486291486,0.875,0.9704545454545456
A,20,pdglasso-cor,20,1.898335442500013,0.1089630380284217,35.4,0.8403213156033986,0.8647058823529411,0.9615384615384616,0.1577450245832598,0.7499999999999999,0.9645833333333332
A,20,pdglasso-cov,20,2.136928883300004,0.1815047378843721,42.55,0.7424966038644348,0.8897058823529411,0.9211538461538462,0.1630653028415176,0.95,0.9298611111111112
B,8,pdglasso-cor,20,0.8993065119500102,0.0688413124276067,10.35,0.8564229479670656,0.8700000000000001,0.9083333333333332,0.7291666666666666,0.9,0.9833333333333332
B,8,pdglasso-cov,20,0.9602212772999964,0.0984080062814858,11.2,0.8102971742309977,0.8699999999999999,0.861111111111111,0.6286904761904761,0.8666666666666666,0.95
B,12,pdglasso-cor,20,1.0859236137500148,0.0796853545385919,20.75,0.9240480696839392,0.8282608695652174,0.9604651162790696,0.5765079365079364,0.8,0.9735294117647058
B,12,pdglasso-cov,20,1.2666489318999994,0.1300636663899916,23.9,0.8423288768990507,0.8456521739130434,0.8965116279069768,0.5322922910422909,0.875,0.926470588235294
B,16,pdglasso-cor,20,1.3061824957999988,0.0557138044995768,33.35,0.7875095913874751,0.6154761904761904,0.9038461538461536,,0.4649999999999999,0.909375
B,16,pdglasso-cov,20,1.3608713039000009,0.0822905910072528,38.55,0.7262855268650605,0.6571428571428571,0.8596153846153847,,0.6350000000000001,0.8859375
B,20,pdglasso-cor,20,1.8771999684999856,0.1103556035166821,45.5,0.7698444531276784,0.5272727272727272,0.9137096774193548,,0.35625,0.8935185185185185
B,20,pdglasso-cov,20,1.9852921597499915,0.1570322728171215,62.05,0.6747965413067081,0.6106060606060606,0.8245967741935484,,0.590625,0.8240740740740742
