quantity,label,selection_frequency
edge,1-2,0.17
edge,1-3,0.125
edge,1-4,0.34
edge,1-5,0.055
edge,1-6,1.0
edge,1-7,1.0
edge,1-8,0.19
edge,2-3,0.115
edge,2-4,0.11
edge,2-5,0.135
edge,2-6,0.05
edge,2-7,0.19
edge,2-8,0.105
edge,3-4,0.98
edge,3-5,1.0
edge,3-6,0.155
edge,3-7,0.045
edge,3-8,0.405
edge,4-5,0.16
edge,4-6,0.155
edge,4-7,0.225
edge,4-8,0.14
edge,5-6,0.135
edge,5-7,0.115
edge,5-8,0.14
edge,6-7,0.1
edge,6-8,0.11
edge,7-8,1.0
edge_symmetry,1-2,0.13
edge_symmetry,1-3,0.025
edge_symmetry,1-4,0.07
edge_symmetry,2-3,0.09
edge_symmetry,2-4,0.08
edge_symmetry,3-4,0.72
edge_symmetry,1-6,0.015
edge_symmetry,1-7,0.9
edge_symmetry,1-8,0.015
edge_symmetry,2-5,0.0
edge_symmetry,2-7,0.12
edge_symmetry,2-8,0.015
edge_symmetry,3-5,0.0
edge_symmetry,3-6,0.0
edge_symmetry,3-8,0.03
edge_symmetry,4-5,0.0
edge_symmetry,4-6,0.0
edge_symmetry,4-7,0.0
vertex_symmetry,1,0.545
vertex_symmetry,2,0.89
vertex_symmetry,3,0.88
vertex_symmetry,4,0.83
