quantity,label,selection_frequency
edge,1-2,0.265
edge,1-3,0.335
edge,1-4,1.0
edge,1-5,0.075
edge,1-6,0.045
edge,1-7,0.075
edge,1-8,0.985
edge,2-3,0.4
edge,2-4,0.72
edge,2-5,0.06
edge,2-6,0.085
edge,2-7,0.11
edge,2-8,0.64
edge,3-4,0.875
edge,3-5,0.21
edge,3-6,0.095
edge,3-7,0.11
edge,3-8,0.33
edge,4-5,0.245
edge,4-6,0.415
edge,4-7,0.2
edge,4-8,0.075
edge,5-6,0.32
edge,5-7,0.82
edge,5-8,0.935
edge,6-7,0.54
edge,6-8,0.995
edge,7-8,0.795
edge_symmetry,1-2,0.2
edge_symmetry,1-3,0.225
edge_symmetry,1-4,0.76
edge_symmetry,2-3,0.38
edge_symmetry,2-4,0.64
edge_symmetry,3-4,0.76
edge_symmetry,1-6,0.02
edge_symmetry,1-7,0.065
edge_symmetry,1-8,0.01
edge_symmetry,2-5,0.0
edge_symmetry,2-7,0.025
edge_symmetry,2-8,0.4
edge_symmetry,3-5,0.0
edge_symmetry,3-6,0.0
edge_symmetry,3-8,0.105
edge_symmetry,4-5,0.0
edge_symmetry,4-6,0.0
edge_symmetry,4-7,0.0
vertex_symmetry,1,0.675
vertex_symmetry,2,0.935
vertex_symmetry,3,0.935
vertex_symmetry,4,0.9
